579003	CÁLCULO NUMÉRICO A	CÁLCULO NUMÉRICO	MAT01032	\N	\N
580002	INTELIGÊNCIA ARTIFICIAL AVANÇADA	IA AVANÇADA	INF05004	\N	\N
590004	CAD PARA SISTEMAS DIGITAIS	CAD	INF01205	\N	\N
591003	ROBÓTICA II	ROBÓTICA	INF01034	\N	\N
596004	PROBABILIDADE E ESTATÍSTICA	PROB	MAT02219	\N	\N
601004	REDES NEURAIS E SISTEMAS FUZZY	SISTEMAS FUZZY	INF01017	\N	\N
602004	SISTEMAS DE BANCO DE DADOS DISTRIBUÍDOS	SIST. BD. DISTRIB.	INF01014	\N	\N
620003	CÁLCULO E GEOMETRIA ANALÍTICA II - A	CÁLCULO II	MAT01354	\N	\N
623003	CONCEPÇÃO DE CIRCUITOS INTEGRADOS I	CIRCUITOS I	INF01185	\N	\N
629002	PROJETO DE BANCO DE DADOS	PBD	INF01006	\N	A
634002	CÁLCULO E GEOMETRIA ANALÍTICA I - A	CÁLCULO I	MAT01353	\N	\N
636003	CONCEPÇÃO DE CIRCUITOS INTEGRADOS II	CIRCUITOS II	INF01194	\N	\N
637003	PROTOCOLOS DE COMUNICAÇÃO	PROTOCOLOS	INF01002	\N	\N
638003	AVALIAÇÃO DE DESEMPENHO	AVAL. DESEMP.	INF01146	\N	\N
639002	GERÊNCIA E APLICAÇÕES EM REDES	GERÊNCIA DE REDES	INF01015	\N	\N
655003	ADMINISTRAÇÃO E FINANÇAS	ADM E FINANÇAS	ADM01134	\N	\N
665002	COMUNICAÇÃO DE DADOS	COMUNICAÇÃO DE DADOS	INF01005	\N	\N
665003	INTRODUÇÃO À PROGRAMAÇÃO	INTROD. PROG.	INF01240	\N	\N
675003	GERÊNCIA E ADMINISTRAÇÃO DE PROJETOS	GERÊNCIA DE PROJETOS	INF01016	\N	C
683001	ECONOMIA A	ECONOMIA	ECO02254	\N	\N
683002	ARQUITETURAS AVANÇADAS DE COMPUTADORES	ARQ. AVANÇADAS	INF01191	\N	\N
587002	ENGENHARIA DE SOFTWARE II	ENG. SOFT. II	INF01003	\N	A
576002	COMPUTAÇÃO GRÁFICA	CG	INF01009	\N	A
647004	ARQUITETURA E DESEMPENHO DE BANCO DE DADOS	ARQ E DESEMP BD	INF01023	\N	B
637002	ESPECIFICAÇÃO FORMAL N	ESPECIFICAÇÃO	INF01001		C
648005	INTRODUÇÃO À INFORMÁTICA	INTRODUÇÃO	INF01210		A
586004	ÁLGEBRA LINEAR I - A	ÁLGEBRA	MAT01355		\N
657004	INTRODUÇÃO À PESQUISA EM INFORMÁTICA	INTROD PESQ INF	INF01049	\N	B
595004	COMPILADORES	COMPILADORES	INF01147	\N	A
681002	ESTRUTURAS DE DADOS	ESTRUTURAS	INF01203	\N	A
694001	SISTEMAS ESPECIALISTAS N	SISTEMAS ESPECIALISTAS	INF01038	\N	A
648004	COMPLEXIDADE DE ALGORITMOS - B	COMPLEXIDADE	INF05515	\N	B
653004	SISTEMAS EMBARCADOS	SISTARMAS EMBARCADOS	INF01059	\N	B
605019	COMPUTAÇÃO SIMBÓLICA E NUMÉRICA	SIMBÓLICA	INF05513	\N	C
