576003	642004	657004	1
576018	586005	689001	1
576019	697001	681002	1
577005	699001	594003	1
577006	594004	694001	2
578030	685003	648004	2
579004	699001	610003	1
579005	653005	634002	1
579006	685003	667004	1
579007	615004	688001	1
584004	577004	603003	3
586006	616002	680002	1
586007	700001	681002	2
586008	685003	654002	1
589007	696001	691001	1
591004	700001	665003	1
592006	603004	655004	2
594006	685003	688001	1
595006	697001	668003	6
596005	580003	672003	1
596006	589006	680002	1
596007	644004	655004	1
597003	634003	687001	1
597004	612003	600005	3
597005	661004	675003	3
597006	617005	690001	1
600007	668004	629002	2
600008	691002	681002	1
601006	629003	614003	1
603005	671003	610003	1
604019	701001	647003	3
605004	642004	627004	2
607004	616002	664002	4
608006	675004	623003	1
609003	675004	636003	1
609004	698001	672003	1
610004	580003	594003	1
610005	628002	600005	1
611003	611002	669002	3
612005	629003	656003	1
612006	645003	688001	1
613004	580003	664002	5
613005	695001	594003	1
614005	630004	690001	1
615005	633003	637003	1
616003	695001	655004	1
617020	643002	653004	1
618004	680003	576002	2
621003	700001	648005	1
623005	641003	629002	1
623006	676002	691001	1
625004	672005	589005	1
628003	607003	655004	1
629004	671003	683002	1
629005	698001	594003	4
630020	617005	680002	1
631003	626004	667004	2
632004	633003	675003	1
634004	699001	693001	1
635004	661004	685001	1
637004	617005	687001	1
638004	697001	576002	1
638005	674002	602004	1
639004	691002	665003	1
640003	702001	638003	1
641004	607003	672003	2
641027	656005	680002	2
645005	611002	580002	1
647005	653005	579003	2
648006	641003	680002	5
648007	700001	665003	1
649004	643002	594003	1
650002	609002	622003	1
650003	577004	639002	1
650004	702001	603003	1
651005	694002	648004	3
651006	577004	637003	1
651007	603004	636003	1
653006	677002	601004	1
654004	677002	580002	1
655006	642004	655004	1
655007	615004	600005	2
656007	613003	623003	1
657006	661004	587002	1
658002	643002	600005	1
659004	665004	622003	4
661006	687002	681002	4
664003	700001	668003	2
665005	685003	614003	1
666002	641003	648005	1
666004	617005	600005	2
668005	609002	591003	1
669003	605003	685002	2
670003	602005	654002	1
671004	633003	680002	1
673003	595005	614003	1
674005	655005	667004	1
674006	691002	648005	1
676005	602005	595004	5
677003	671003	648005	1
677004	598002	586004	2
679003	613003	693001	1
680004	613003	610003	1
681003	673002	681002	1
681004	672005	594003	1
682002	633003	603003	1
683003	697001	687001	2
684004	702001	594003	2
684017	673002	637002	1
685004	697001	691001	1
686002	673002	614003	1
686003	702001	600005	3
687003	603004	623003	1
689002	622004	654002	3
690003	586005	667004	1
692002	629003	648004	1
693003	695001	610003	1
694003	696001	688001	1
695002	595005	667004	1
695012	616002	654002	1
209	79	592004	4
627007	702001	654002	7
697002	605003	691001	1
614004	581003	647004	6
698002	630004	680002	2
699002	696001	580002	1
699003	674003	648004	1
699004	687002	680002	2
699013	595005	689001	3
700002	613003	655004	3
701002	578005	644003	6
677005	662003	577003	23
703001	642004	594003	1
652003	589006	690001	11
703003	613003	683002	2
704001	630004	690001	1
746009	586005	577003	1
771003	589006	647003	1
811007	696001	605019	4
1079028	674003	605019	1
1107040	691002	680002	1
1111047	644004	653004	2
1160043	580003	653004	1
1466295	615004	689001	1
1643140	580003	596004	1
1417001	600006	648005	2
657005	634003	587002	4
202	592005	648005	1
594005	699001	655004	6
644005	645003	656003	12
619014	656005	668003	3
583014	612003	686015	2
206	700001	687001	1
608027	672005	725009	3
607005	618003	684001	6
207	699001	657004	1
684003	612003	672003	4
674007	701001	681002	12
661005	674003	619002	11
1062064	607003	610003	3
697016	626004	689001	5
208	586005	688001	2
630005	671003	655004	27
670004	675004	655004	6
630006	629003	667004	6
606004	612003	594003	10
605005	627005	610003	6
674004	668004	686001	9
602006	655005	648004	12
667005	612003	692001	3
676004	644004	610003	8
201	651004	680002	4
641026	685003	689001	9
211	672005	664002	1
203	1150051	610003	6
695003	622004	603003	5
622005	634003	589005	8
612004	581003	686001	8
679004	615004	614003	11
584005	698001	627004	11
676003	607003	693001	3
204	78	648004	4
682003	680003	649003	8
632003	693002	688001	20
668007	595005	578004	8
645004	580003	603003	15
582007	639003	603003	4
212	580003	654002	1
1429001	700001	691001	2
213	595005	75	1
214	680003	76	1
219	80	619002	1
604006	665004	684001	11
703002	594004	669002	3
216	651004	687001	1
210	653005	680002	2
215	80	667004	2
619003	642004	600005	12
679002	696001	667004	3
696002	694002	619002	23
652004	586005	667004	8
581004	680003	647003	7
633004	594004	680002	8
613006	645003	577003	3
217	613003	733001	1
627006	609002	623004	2
654016	617005	589005	10
635003	676002	649003	14
666003	674002	647003	8
659003	628002	594003	12
702002	643002	672003	10
1687015	603004	733001	4
656006	634003	640002	9
218	671003	733001	1
684002	672005	654002	7
668006	655005	578004	3
696003	605003	668003	7
205	608005	685001	4
614006	677002	669002	4
\.


